dataset,protocol_family,role
Barennes2021,MIXED_PROTOCOL_BENCHMARK,downstream
Emerson2017,GDNA_MULTIPLEX,downstream
Heather2015,RNA_5RACE,downstream
Huth2019,RNA_MULTIPLEX,downstream
ImmuneCODE,GDNA_MULTIPLEX,downstream
Liu2019,GDNA_MULTIPLEX,downstream
Rawat2026,GDNA_MULTIPLEX,downstream
Visvabharathy2023,GDNA_MULTIPLEX,downstream
Wang2022,GDNA_MULTIPLEX,downstream
Wright2026,RNA_MULTIPLEX,downstream
Ye2020,RNA_MULTIPLEX,downstream
Zaslavsky2025,SOURCE_STUDY_DEPENDENT,downstream
AIRRML2025-HSV2,GDNA_MULTIPLEX,reference
AIRRML2025_Synthetic_D3_D6,SYNTHETIC,reference
AlvesSousa2019,RNA_5RACE,reference
Brenna2020,RNA_5RACE,reference
Britanova2016,RNA_5RACE,reference
Chan2026,GDNA_MULTIPLEX,reference
Choi2023,RNA_5RACE,reference
Dewitt2015,GDNA_MULTIPLEX,reference
Formenti2018,GDNA_MULTIPLEX,reference
Gottlieb2024,RNA_5RACE,reference
Hamm2020,GDNA_MULTIPLEX,reference
Houghton2017,GDNA_MULTIPLEX,reference
Huuhtanen2022,GDNA_MULTIPLEX,reference
Jia2018,GDNA_MULTIPLEX,reference
Kasatskaya2020,RNA_5RACE,reference
Lee2020,RNA_MULTIPLEX,reference
Link2023,GDNA_MULTIPLEX,reference
MDanderson2019,GDNA_MULTIPLEX,reference
Martinez2025,GDNA_MULTIPLEX,reference
Mitchell2017,RNA_MULTIPLEX,reference
Morton2022,RNA_MULTIPLEX,reference
Nair2025,GDNA_MULTIPLEX,reference
Pogorelyy2026,RNA_5RACE,reference
Robert2014,GDNA_MULTIPLEX,reference
Sanders2025,GDNA_MULTIPLEX,reference
Sherwood2015,GDNA_MULTIPLEX,reference
Shi2017,RNA_MULTIPLEX,reference
Sims2016,RNA_MULTIPLEX,reference
Snyder2017,GDNA_MULTIPLEX,reference
TRACERx,RNA_5RACE,reference
To2026,GDNA_MULTIPLEX,reference
Valpione2020,GDNA_MULTIPLEX,reference
Weber2018,GDNA_MULTIPLEX,reference
Yan2019,GDNA_MULTIPLEX,reference
Yost2019,GDNA_MULTIPLEX,reference
